Name,XPos,YPos,ZPos
397,161,162,411
398,193,192,162
399,162,192,411
400,164,200,246
401,246,244,164
402,165,166,167
403,220,166,165
404,194,167,166
405,166,170,171
406,220,170,166
407,167,194,211
408,167,211,212
409,167,212,464
410,168,169,170
411,409,169,168
412,168,170,220
413,168,183,184
414,220,183,168
415,168,184,409
416,218,170,169
417,169,175,178
418,409,175,169
419,169,178,218
420,218,171,170
421,218,172,171
422,174,175,409
423,174,190,191
424,409,190,174
425,191,190,176
426,176,190,195
427,193,191,176
428,176,192,193
429,197,192,176
430,176,195,197
431,177,185,188
432,196,186,177
433,177,188,189
434,177,189,197
435,197,196,177
436,179,181,196
437,183,182,179
438,184,183,179
439,195,184,179
440,196,195,179
441,180,183,220
442,195,190,184
443,184,190,409
444,185,187,188
445,275,187,185
446,223,188,187
447,189,192,197
448,411,192,189
449,195,196,197
450,200,212,246
451,203,244,245
452,211,214,215
453,215,216,217
454,396,217,216
455,222,219,216
456,216,219,396
457,248,247,217
458,396,248,217
459,219,221,396
460,252,251,221
461,221,251,396
462,395,229,228
463,228,242,243
464,228,243,395
465,229,236,238
466,395,236,229
467,234,236,395
468,234,249,250
469,395,249,234
470,235,440,443
471,240,245,254
472,408,245,240
473,253,249,243
474,243,249,395
475,244,246,247
476,248,251,255
477,396,251,248
478,253,254,255
479,263,296,297
480,265,280,461
481,368,274,273
482,279,276,273
483,273,276,368
484,276,278,368
485,308,307,278
486,278,307,368
487,280,281,282
488,280,282,461
489,281,285,286
490,282,325,326
491,282,326,461
492,283,284,285
493,353,284,283
494,283,298,299
495,283,299,353
496,284,290,293
497,353,290,284
498,286,287,288
499,288,327,328
500,289,290,353
501,289,305,306
502,353,305,289
503,291,455,456
504,471,455,291
505,291,456,462
506,462,460,291
507,291,460,477
508,477,471,291
509,292,445,446
510,448,445,292
511,292,446,476
512,449,448,292
513,479,449,292
514,292,476,479
515,294,468,473
516,296,301,311
517,310,305,299
518,299,305,353
519,304,307,312
520,368,307,304
521,401,400,309
522,309,400,416
523,407,401,309
524,309,406,407
525,422,406,309
526,309,416,422
527,310,311,312
528,314,326,361
529,461,326,314
530,317,359,360
531,320,351,355
532,320,355,356
533,452,324,323
534,354,338,323
535,323,338,452
536,325,328,329
537,329,330,331
538,348,331,330
539,335,333,330
540,330,333,348
541,331,348,363
542,363,362,331
543,390,389,332
544,332,389,391
545,421,390,332
546,332,391,393
547,332,393,424
548,424,421,332
549,333,334,348
550,366,348,334
551,367,366,334
552,342,341,337
553,337,341,358
554,349,342,337
555,337,347,349
556,364,347,337
557,337,358,364
558,338,339,340
559,338,340,452
560,339,343,344
561,340,384,385
562,340,385,452
563,341,342,343
564,341,357,358
565,342,349,352
566,344,345,346
567,346,386,387
568,347,364,365
569,366,363,348
570,360,355,351
571,354,356,357
572,355,360,370
573,369,364,358
574,359,361,362
575,363,366,371
576,369,370,371
577,373,385,419
578,452,385,373
579,451,383,382
580,412,397,382
581,382,397,451
582,384,387,388
583,388,389,390
584,394,391,389
585,421,420,390
586,425,424,393
587,397,398,399
588,397,399,451
589,398,402,403
590,453,451,399
591,454,453,399
592,400,401,402
593,400,415,416
594,401,407,410
595,403,404,405
596,459,458,405
597,406,422,423
598,412,414,415
599,426,422,416
600,417,419,420
601,421,424,428
602,426,427,428
603,429,441,466
604,474,441,429
605,473,472,432
606,469,468,436
607,439,451,453
608,439,453,467
609,444,443,440
610,446,445,444
611,445,448,450
612,446,475,476
613,449,479,480
614,458,457,454
615,457,456,455
616,471,470,455
617,465,462,456
618,478,477,460
619,470,469,467
620,483,473,468
621,471,477,482
622,475,474,472
623,484,479,476
624,484,483,482
625,265,461,266
626,265,507,88
627,265,88,295
628,241,512,240
629,241,240,117
630,512,207,408
631,512,408,240
632,90,514,298
633,298,283,90
634,514,295,298
635,295,297,298
636,295,514,265
637,265,514,280
638,514,90,280
639,280,90,281
640,413,414,379
641,413,418,427
642,418,413,517
643,521,408,207
644,408,203,245
645,239,526,241
646,239,241,242
647,526,137,512
648,526,512,241
649,88,527,263
650,263,297,88
651,528,263,527
652,263,528,392
653,263,392,296
654,182,181,179
655,381,380,113
656,173,531,172
657,531,171,172
658,531,194,171
659,194,166,171
660,194,531,214
661,194,214,211
662,531,173,214
663,214,173,213
664,320,356,100
665,520,532,322
666,532,100,322
667,322,100,323
668,180,535,182
669,182,183,180
670,529,182,535
671,150,536,148
672,436,468,294
673,209,463,210
674,209,538,526
675,526,538,137
676,261,539,262
677,539,392,528
678,528,262,539
679,539,261,260
680,260,261,259
681,118,540,271
682,271,268,118
683,540,233,271
684,233,270,271
685,233,540,232
686,232,540,231
687,540,118,231
688,231,118,226
689,186,196,181
690,529,181,182
691,373,544,324
692,324,452,373
693,544,373,112
694,544,112,525
695,547,351,319
696,351,317,360
697,548,165,464
698,165,167,464
699,165,548,180
700,165,180,220
701,548,535,180
702,260,549,539
703,549,392,539
704,549,301,392
705,301,296,392
706,549,260,300
707,550,532,520
708,550,320,532
709,320,100,532
710,320,550,319
711,320,319,351
712,225,226,227
713,269,227,268
714,317,351,547
715,96,555,303
716,555,300,303
717,300,555,549
718,549,555,301
719,555,96,301
720,301,96,311
721,208,556,136
722,210,556,538
723,210,538,209
724,556,208,538
725,557,316,315
726,316,557,554
727,557,99,317
728,557,317,554
729,336,377,376
730,186,185,177
731,559,145,185
732,447,559,543
733,543,186,181
734,560,203,521
735,203,408,521
736,203,560,164
737,203,164,244
738,560,201,164
739,274,561,87
740,87,272,274
741,561,303,87
742,303,302,87
743,303,561,96
744,96,561,304
745,561,274,304
746,304,274,368
747,237,564,148
748,148,541,237
749,564,149,148
750,149,564,535
751,149,535,548
752,564,529,535
753,186,559,185
754,186,543,559
755,553,145,559
756,565,210,463
757,565,258,210
758,258,556,210
759,259,565,94
760,376,567,519
761,567,417,418
762,418,519,567
763,417,567,112
764,417,112,419
765,567,376,112
766,112,376,525
767,521,207,206
768,521,568,560
769,560,568,202
770,144,553,146
771,314,570,266
772,266,461,314
773,315,570,557
774,557,570,99
775,570,314,99
776,99,314,361
777,199,571,202
778,571,201,202
779,201,560,202
780,150,571,536
781,571,199,536
782,429,572,127
783,127,474,429
784,430,572,277
785,277,572,141
786,572,429,141
787,141,429,466
788,439,467,129
789,439,573,383
790,439,383,451
791,94,574,300
792,300,260,94
793,574,302,300
794,302,303,300
795,302,574,257
796,574,94,565
797,574,565,257
798,464,212,200
799,464,575,548
800,548,575,149
801,149,150,148
802,520,577,550
803,143,277,141
804,319,550,321
805,525,579,374
806,374,544,525
807,579,525,377
808,377,525,376
809,101,580,520
810,577,520,580
811,580,101,563
812,150,581,571
813,581,201,571
814,581,200,201
815,200,164,201
816,200,581,575
817,200,575,464
818,581,150,149
819,581,149,575
820,127,582,432
821,432,472,127
822,582,127,572
823,582,572,430
824,583,383,573
825,573,438,583
826,383,381,382
827,129,469,436
828,129,585,439
829,439,585,573
830,463,586,257
831,257,565,463
832,586,269,257
833,269,302,257
834,269,586,227
835,227,586,551
836,586,463,551
837,294,473,432
838,587,432,582
839,587,582,431
840,542,588,537
841,588,436,537
842,436,588,129
843,129,588,585
844,588,542,585
845,585,542,573
846,589,145,553
847,589,275,145
848,275,185,145
849,275,143,142
850,654,518,494
851,147,592,237
852,237,509,147
853,592,529,564
854,564,237,592
855,529,592,543
856,529,543,181
857,592,447,543
858,593,277,578
859,277,593,430
860,594,511,509
861,537,595,542
862,518,496,98
863,209,598,463
864,598,551,463
865,598,225,551
866,225,227,551
867,225,598,239
868,225,239,123
869,598,209,239
870,239,209,526
871,137,599,207
872,207,512,137
873,206,207,599
874,608,208,204
875,599,137,208
876,208,137,538
877,600,380,530
878,259,601,258
879,259,258,565
880,144,651,569
881,669,602,591
882,602,547,321
883,547,319,321
884,547,602,554
885,547,554,317
886,602,316,554
887,604,593,569
888,593,578,569
889,593,604,576
890,523,606,587
891,606,294,587
892,294,432,587
893,294,606,537
894,294,537,436
895,606,523,595
896,606,595,537
897,515,609,315
898,315,313,515
899,609,266,570
900,570,315,609
901,266,609,507
902,266,507,265
903,261,262,267
904,261,610,259
905,259,610,601
906,611,380,600
907,611,379,380
908,379,113,380
909,379,611,517
910,379,517,413
911,336,612,552
912,552,513,336
913,612,517,611
914,611,552,612
915,517,612,519
916,517,519,418
917,612,336,376
918,612,376,519
919,605,262,638
920,114,613,438
921,613,583,438
922,613,381,583
923,381,383,583
924,381,613,530
925,381,530,380
926,613,114,530
927,101,614,374
928,374,563,101
929,614,324,544
930,544,374,614
931,324,614,322
932,324,322,323
933,614,101,322
934,322,101,520
935,508,615,576
936,615,430,593
937,593,576,615
938,430,615,431
939,430,431,582
940,144,617,589
941,589,553,144
942,617,143,589
943,143,275,589
944,143,617,578
945,143,578,277
946,617,144,569
947,617,569,578
948,86,618,270
949,618,271,270
950,618,272,271
951,272,268,271
952,272,618,273
953,272,273,274
954,618,86,273
955,273,86,279
956,541,619,509
957,541,509,237
958,600,530,597
959,600,625,552
960,600,552,611
961,625,513,552
962,313,562,515
963,508,576,516
964,534,627,623
965,267,262,605
966,524,199,202
967,599,208,608
968,558,377,336
969,568,521,206
970,632,206,599
971,632,599,608
972,597,530,114
973,662,634,546
974,634,114,546
975,546,114,438
976,433,636,534
977,534,623,433
978,636,595,523
979,595,636,435
980,636,433,435
981,435,433,590
982,584,562,264
983,637,267,605
984,640,146,511
985,640,511,594
986,562,313,642
987,536,643,541
988,541,148,536
989,619,541,643
990,629,536,199
991,528,638,262
992,528,527,638
993,638,584,264
994,524,646,199
995,576,647,516
996,481,496,518
997,128,590,433
998,642,85,562
999,647,576,604
1000,651,640,566
1001,640,594,566
1002,647,651,566
1003,321,550,577
1004,321,653,591
1005,321,591,602
1006,653,318,591
1007,656,496,481
1008,516,627,508
1009,623,128,433
1010,146,651,144
1011,146,640,651
1012,604,569,651
1013,651,647,604
1014,620,658,632
1015,632,608,620
1016,658,568,206
1017,206,632,658
1018,568,658,202
1019,202,658,524
1020,658,620,524
1021,646,524,620
1022,485,98,496
1023,590,128,649
