Name,XPos,YPos,ZPos
1,2.569057989,1.626645576,1.30714037
2,1.508597573,3.148111489,-0.488813881
3,0.221740063,2.631312614,1.688754295
4,0.807190137,2.087802327,2.13367296
5,2.789124494,1.959317457,0.484335416
6,0.703080994,3.358949895,-0.110927592
7,-1.865523837,2.863450369,-0.225418102
8,-0.554481173,2.438922149,1.957659867
9,0.671017199,3.334475284,-0.130646819
10,-0.006928133,3.391871689,-0.741550756
11,-2.037318542,2.564462557,0.62145893
12,0.295258864,2.680513556,1.721686772
13,3.276010993,1.199159591,-1.879319094
14,1.459629724,2.987904266,-1.471841407
15,2.785790036,2.017924665,0.519470947
16,3.345685074,1.424397082,0.106735688
17,2.684261338,1.689709796,-2.374597481
18,1.491484342,3.090881644,-0.56382776
19,0.817816874,2.082521893,2.144811507
20,1.036114411,-0.418570052,2.746286161
21,2.876510389,0.739856134,1.354927866
22,2.558349282,1.594567903,1.288979841
23,0.340215853,1.450900084,2.602041203
24,1.831876539,-0.641660012,2.355004491
25,3.696068055,-1.085331147,-0.080190833
26,3.498528827,0.332474023,-2.228607283
27,3.24555582,1.451381457,0.084169685
28,3.356275235,0.744120031,0.653054846
29,3.740700103,-1.214485036,-0.984312005
30,3.343177363,1.168889339,-1.893371272
31,-2.089673086,2.553204121,0.709615782
32,-2.616104106,0.420067682,2.065154717
33,-0.457626421,1.753291181,2.543041391
34,-0.5179187,2.43895145,1.941092326
35,-2.747978523,1.919779564,0.748540343
36,-1.897506389,0.36783197,2.62817922
37,1.97092759,-0.787416738,2.248777806
38,3.287420584,-1.818792783,0.282055624
39,3.339046413,0.732545716,0.673071135
40,2.806183751,0.824866264,1.410392055
41,2.121915592,-1.616864469,1.894762377
42,3.669295243,-1.081665599,-0.101249867
43,2.399631247,-2.329785109,-2.86148958
44,2.965487046,0.182576676,-3.042409369
45,3.759144819,-1.175164815,-0.995086269
46,3.433329073,-2.009378674,-1.179583364
47,2.252845863,-1.642059362,-3.445951032
48,3.438088175,0.329064788,-2.273450823
49,3.1876146,-2.302870437,-0.361710105
50,2.045917491,-1.72620166,1.880803513
51,1.146180702,-3.66718647,0.435833558
52,1.715548266,-3.654265652,-0.279541497
53,3.291267908,-1.697940574,0.316097901
54,1.372896619,-2.34405234,1.918370562
55,-1.901826882,0.346968388,2.626486601
56,0.230837504,-1.093684005,2.829340715
57,0.421442291,1.472712886,2.624003667
58,-0.455192994,1.726789313,2.568653996
59,-1.68658489,-0.537954801,2.70827703
60,0.892230797,-0.462837242,2.802899957
61,-1.995695935,-2.682063443,1.531022414
62,0.347206563,-2.053081557,2.414241617
63,-1.628461204,-0.419369646,2.718558487
64,-2.317399856,-0.875810228,2.327235897
65,-1.159675969,-3.051432192,1.558320449
66,0.200125248,-1.227272227,2.778266173
67,0.556788513,-3.901186434,0.013574959
68,1.230152793,-2.357487643,1.970220323
69,-1.251043639,-2.969091533,1.603489578
70,-1.209016154,-3.50959815,0.867151255
71,1.322077499,-3.539711891,0.359662757
72,0.422836323,-2.178455569,2.36047085
73,1.697409458,-2.950595113,-2.775133772
74,3.449682783,-1.958697386,-1.159409914
75,1.689887219,-3.633240576,-0.285389793
76,1.210024486,-3.819769809,-1.041065943
77,2.400101999,-2.366683847,-2.81226418
78,3.226852975,-2.356079418,-0.366603357
79,-2.444853395,-2.959034052,0.75961188
80,-2.353641649,-0.923649312,2.345101037
81,-3.811895746,-0.837452368,0.21649784
82,-3.665428326,-1.662093455,-0.150411157
83,-2.033280472,-2.727347285,1.542578552
84,-2.911681994,-0.330694992,1.929043361
85,-3.857758683,-0.192351573,-0.468718026
86,-2.920420423,-0.396413257,1.928080319
87,-2.766214237,1.85200718,0.668829557
88,-3.16034444,1.651535539,-0.131533076
89,-3.78248255,-0.83489528,0.177485447
90,-2.601566353,0.44660209,2.082239479
91,-2.395946716,1.091105535,-2.591302129
92,-3.766913947,-0.644740545,-1.260071971
93,-3.133749337,1.609261881,-0.172201513
94,-2.665012448,2.020558259,-0.84095323
95,-2.741668189,0.254868333,-2.722800587
96,-3.889929364,-0.21979972,-0.459821796
97,-1.876761267,-3.441421606,0.324462632
98,-3.659999864,-1.640614113,-0.16751193
99,-2.325660493,-2.699754298,-2.107266297
100,-1.780043273,-3.286919909,-1.667213762
101,-2.466597438,-2.924893346,0.794993914
102,-3.615780914,-1.569976762,-1.078095747
103,0.652509637,-3.776193143,-0.94453125
104,-1.197467459,-3.58138004,0.84558581
105,-1.793496098,-3.357499218,-1.656316213
106,-0.979030135,-3.463479015,-2.058213361
107,0.583974951,-3.813184576,-0.033464583
108,-1.943398736,-3.43840881,0.336416292
109,-3.641152893,-1.5718945,-1.0768089
110,-2.73144675,0.209025461,-2.709489309
111,-1.847867115,-2.214217225,-2.819345593
112,-2.322448562,-2.622304797,-2.152753646
113,-3.769476029,-0.683564948,-1.251484653
114,-2.128542167,-0.27121652,-3.201405504
