Name,XPos,YPos,ZPos
1,3.6535,-1.1316,1.2431
2,3.6805,1.343,0.7374
3,3.7858,-3.2214,0.027455
4,1.7467,-1.3012,2.5226
5,1.7546,-4.4553,0.65804
6,1.6275,2.2881,1.8956
7,0.54975,-3.183,2.0472
8,0.14279,-5.8308,-0.48045
9,-1.7613,-3.2731,1.6435
10,0.55842,0.50408,2.8295
11,-1.7293,0.59622,2.5578
12,-2.9866,-1.2119,1.8719
13,-2.0213,-4.9536,0.10238
14,-2.3182,2.6372,1.6887
15,-0.21194,3.8213,1.251
16,0.38994,5.4946,-0.13239
17,-4.2493,2.2016,0.4186
18,-4.7303,-0.1842,0.47512
19,-0.91163,6.9169,-0.76512
