Name,XPos,YPos,ZPos
1,-0.00040145,0.00026271,3.9892e-06
2,0.49744,0.86513,0.00047024
3,0.49751,-0.86576,-0.0014731
4,0.99954,-0.0013377,0.0022326
5,-0.50128,-0.86571,0.0016247
6,-0.50278,0.86574,0.0011291
7,-1.0035,0.0030298,-0.0013608
8,-0.0023348,-1.7326,-0.00018377
9,1.5009,0.86732,-0.0015696
10,-1.5002,-0.86939,0.0027105
11,1.5033,-0.86783,0.0011031
12,-1.5029,0.86891,0.0028567
13,0.0014625,1.7364,-0.0012459
14,2,-0.0030254,0.0012912
15,0.99904,1.7327,0.0016316
16,-0.9983,1.7348,0.0006477
17,-2.0023,-0.00034495,0.0027922
18,-0.99919,-1.7358,0.001078
19,1.0002,-1.7358,0.0004802
20,-1.9987,1.7337,0.0007705
21,-0.49763,2.599,0.0020224
22,-0.50252,-2.5988,0.0016778
23,2.0005,-1.7343,0.0028641
24,2.5025,0.86599,-0.00057404
25,-2.003,-1.7323,-0.00060668
26,0.49786,2.6022,-0.00082202
27,-2.505,0.86414,0.0012095
28,-2.5051,-0.86376,-0.0028282
29,2.5047,-0.8657,0.0019612
30,2.0027,1.7362,-0.0002579
31,0.50188,-2.6029,0.0024783
32,-3.0023,0.0007095,-0.00067326
33,-1.5045,-2.5989,-0.0013982
34,1.5016,2.6011,0.00093586
35,1.4997,-2.6023,-0.0011457
36,-1.5025,2.6021,0.0029772
37,3.0052,0.0028335,-0.00307
38,-0.0017019,3.4659,0.0030428
39,-0.001225,-3.4659,0.00061945
40,-3.0003,-1.7364,-0.0019116
41,3.0005,-1.7364,-0.0020733
42,-3.0022,1.7354,0.0028675
43,3.005,1.7314,0.0031295
44,-0.99775,-3.4651,0.0008069
45,-2.4992,-2.5994,0.00071097
46,0.9998,3.4661,0.0013779
47,2.5019,2.5989,0.0022333
48,3.5025,0.86453,0.0029897
49,-1.0036,3.4654,-0.0011639
50,-3.5028,0.86554,0.0023669
51,-3.5028,-0.86854,-0.0022904
52,2.5033,-2.6011,-0.00014534
53,3.5046,-0.86809,-0.00041856
54,-2.5038,2.6024,-0.00029329
55,0.99898,-3.4704,0.0011753
56,-2.0008,3.4654,-0.0017328
57,4.0025,0.00070354,-7.9701e-05
58,2.0035,3.4655,0.0028479
59,2.0026,-3.467,0.0012838
60,-4.0039,-0.0029708,0.0028533
61,-2.0037,-3.4685,-0.0017804
62,-4.0029,-1.731,0.0023025
63,-4.0012,1.7361,0.00031648
64,-3.5001,-2.603,0.00078718
65,-0.49915,-4.334,-0.0020353
66,3.5029,2.6011,2.5749e-05
67,3.5058,-2.5976,0.0018852
68,0.50179,4.3344,-0.0021535
69,-3.504,2.6003,-0.0020225
70,4.0046,1.7346,-8.9092e-05
71,-0.49943,4.3365,-0.0014161
72,0.50241,-4.3364,-0.0012413
73,4.0053,-1.7365,-0.00032505
74,-3.0001,-3.4654,-0.0029439
75,4.5012,-0.8648,-0.0011516
76,-1.5009,4.3312,-0.0018224
77,1.5032,-4.3312,0.0022502
78,-4.5037,0.86609,-0.0022436
79,-3.0035,3.4664,0.0029273
80,1.4998,4.3345,-0.0010213
81,-1.5032,-4.3335,-0.0031578
82,3.0034,-3.4677,0.0027996
83,-4.5046,-0.86987,-0.0012407
84,3.0021,3.4701,-1.3894e-05
85,4.5064,0.86727,-0.0023931
86,-2.5019,4.3317,0.0022489
87,2.4992,4.3333,0.0023298
88,2.5022,-4.3342,-0.0020775
89,-5.0054,0.0028209,0.0020946
